ÏñÔª	¹âÇ¿
1555	 42
1556	 42
1557	 42
1558	 44
1559	 43
1560	 43
1561	 43
1562	 45
1563	 47
1564	 46
1565	 45
1566	 44
1567	 44
1568	 44
1569	 44
1570	 44
1571	 43
1572	 44
1573	 46
1574	 46
1575	 45
1576	 44
1577	 43
1578	 43
1579	 43
1580	 44
1581	 44
1582	 44
1583	 46
1584	 46
1585	 45
1586	 45
1587	 44
1588	 44
1589	 44
1590	 44
1591	 45
1592	 45
1593	 46
1594	 47
1595	 52
1596	 57
1597	 62
1598	 73
1599	 87
1600	101
1601	111
1602	120
1603	128
1604	135
1605	142
1606	149
1607	154
1608	161
1609	165
1610	170
1611	175
1612	177
1613	182
1614	186
1615	190
1616	192
1617	193
1618	194
1619	195
1620	195
1621	195
1622	196
1623	195
1624	198
1625	198
1626	197
1627	200
1628	200
1629	201
1630	201
1631	203
1632	203
1633	204
1634	203
1635	203
1636	203
1637	201
1638	198
1639	195
1640	189
1641	182
1642	173
1643	167
1644	158
1645	148
1646	140
1647	131
1648	123
1649	116
1650	111
1651	106
1652	101
1653	 95
1654	 87
1655	 81
1656	 75
1657	 71
1658	 69
1659	 69
1660	 66
1661	 62
1662	 60
1663	 59
1664	 60
1665	 63
1666	 69
1667	 79
1668	 90
1669	101
1670	110
1671	120
1672	129
1673	137
1674	144
1675	150
1676	157
1677	161
1678	165
1679	166
1680	167
1681	170
1682	169
1683	167
1684	161
1685	155
1686	149
1687	142
1688	135
1689	126
1690	117
1691	110
1692	101
1693	 94
1694	 88
1695	 83
1696	 79
1697	 74
1698	 71
1699	 67
1700	 65
1701	 62
1702	 59
1703	 57
1704	 55
1705	 53
1706	 53
1707	 52
1708	 52
1709	 50
1710	 50
1711	 49
1712	 48
1713	 46
1714	 45
1715	 46
1716	 46
1717	 46
1718	 47
1719	 46
1720	 44
1721	 43
1722	 44
1723	 45
1724	 45
1725	 45
1726	 45
1727	 45
1728	 45
1729	 45
1730	 46
1731	 46
1732	 45
1733	 45
1734	 45
1735	 45
1736	 46
1737	 46
1738	 45
1739	 45
1740	 45
1741	 45
1742	 45
1743	 46
1744	 45
1745	 45
1746	 44
1747	 44
1748	 44
1749	 44
1750	 44
1751	 43
1752	 43
1753	 45
1754	 47
1755	 47
1756	 47
1757	 47
1758	 47
1759	 49
1760	 52
1761	 58
1762	 69
1763	 83
1764	 97
1765	110
1766	123
1767	133
1768	143
1769	149
1770	155
1771	161
1772	167
1773	173
1774	179
1775	183
1776	187
1777	188
1778	191
1779	194
1780	197
1781	200
1782	203
1783	202
1784	202
1785	204
1786	203
1787	205
1788	205
1789	205
1790	205
1791	208
1792	211
1793	210
1794	208
1795	208
1796	208
1797	208
1798	207
1799	208
1800	207
1801	205
1802	203
1803	200
1804	195
1805	190
1806	178
1807	168
1808	156
1809	146
1810	133
1811	122
1812	112
1813	105
1814	 96
1815	 90
1816	 84
1817	 80
1818	 77
1819	 73
1820	 69
1821	 65
1822	 62
1823	 60
1824	 58
1825	 58
1826	 58
1827	 57
1828	 59
1829	 62
1830	 67
1831	 76
1832	 87
1833	100
1834	113
1835	127
1836	139
1837	148
1838	156
1839	163
1840	169
1841	173
1842	179
1843	183
1844	187
1845	192
1846	197
1847	199
1848	202
1849	202
1850	201
1851	198
1852	189
1853	181
1854	170
1855	159
1856	144
1857	133
1858	124
1859	114
1860	104
1861	 96
1862	 89
1863	 83
1864	 78
1865	 73
1866	 68
1867	 65
1868	 61
1869	 60
1870	 57
1871	 55
1872	 53
1873	 52
1874	 51
1875	 50
1876	 49
1877	 50
1878	 50
1879	 50
1880	 49
1881	 48
1882	 48
1883	 49
1884	 48
1885	 49
1886	 48
1887	 46
1888	 45
1889	 44
1890	 44
1891	 45
1892	 45
1893	 45
1894	 46
1895	 46
1896	 46
1897	 45
1898	 45
1899	 44
1900	 44
1901	 45
1902	 46
1903	 47
1904	 47
1905	 47
1906	 47
1907	 48
1908	 48
1909	 47
1910	 48
1911	 48
1912	 49
1913	 48
1914	 47
1915	 48
1916	 47
1917	 47
1918	 47
1919	 46
1920	 47
1921	 50
